month,M5_trades,M5_wins,M5_wr_pct,M5_net_points,M15_trades,M15_wins,M15_wr_pct,M15_net_points,combined_trades,combined_wins,combined_wr_pct,combined_net_points
2019-01,3,1,33.33,-10.9,0,0,,0.0,3,1,33.33,-10.9
2019-02,6,4,66.67,18.2,3,1,33.33,-10.9,9,5,55.56,7.3
2019-03,9,3,33.33,-32.7,3,2,66.67,9.1,12,5,41.67,-23.6
2019-04,3,1,33.33,-10.9,4,1,25.0,-21.2,7,2,28.57,-32.1
2019-05,5,3,60.0,8.5,2,2,100.0,19.4,7,5,71.43,27.9
2019-06,8,4,50.0,-2.4,8,5,62.5,17.6,16,9,56.25,15.2
2019-07,10,3,30.0,-43.0,3,1,33.33,-10.9,13,4,30.77,-53.9
2019-08,8,4,50.0,-2.4,4,1,25.0,-21.2,12,5,41.67,-23.6
2019-09,7,3,42.86,-12.1,3,3,100.0,29.1,10,6,60.0,17.0
2019-10,10,7,70.0,37.0,4,3,75.0,18.8,14,10,71.43,55.8
2019-11,5,3,60.0,8.5,7,4,57.14,7.9,12,7,58.33,16.4
2019-12,8,6,75.0,37.6,3,2,66.67,9.1,11,8,72.73,46.7
2020-01,10,7,70.0,37.0,7,6,85.71,47.9,17,13,76.47,84.9
2020-02,11,7,63.64,26.7,5,4,80.0,28.5,16,11,68.75,55.2
2020-03,17,13,76.47,84.9,7,3,42.86,-12.1,24,16,66.67,72.8
2020-04,22,10,45.45,-26.6,9,5,55.56,7.3,31,15,48.39,-19.3
2020-05,9,3,33.33,-32.7,10,6,60.0,17.0,19,9,47.37,-15.7
2020-06,8,6,75.0,37.6,7,4,57.14,7.9,15,10,66.67,45.5
2020-07,12,6,50.0,-3.6,5,2,40.0,-11.5,17,8,47.06,-15.1
2020-08,13,7,53.85,6.1,8,5,62.5,17.6,21,12,57.14,23.7
2020-09,15,5,33.33,-54.5,4,1,25.0,-21.2,19,6,31.58,-75.7
2020-10,14,4,28.57,-64.2,2,1,50.0,-0.6,16,5,31.25,-64.8
2020-11,12,7,58.33,16.4,6,2,33.33,-21.8,18,9,50.0,-5.4
2020-12,11,7,63.64,26.7,5,4,80.0,28.5,16,11,68.75,55.2
2021-01,12,9,75.0,56.4,8,7,87.5,57.6,20,16,80.0,114.0
2021-02,11,7,63.64,26.7,9,5,55.56,7.3,20,12,60.0,34.0
2021-03,14,10,71.43,55.8,3,1,33.33,-10.9,17,11,64.71,44.9
2021-04,14,4,28.57,-64.2,5,4,80.0,28.5,19,8,42.11,-35.7
2021-05,8,5,62.5,17.6,3,2,66.67,9.1,11,7,63.64,26.7
2021-06,12,4,33.33,-43.6,6,1,16.67,-41.8,18,5,27.78,-85.4
2021-07,11,3,27.27,-53.3,7,2,28.57,-32.1,18,5,27.78,-85.4
2021-08,14,10,71.43,55.8,5,4,80.0,28.5,19,14,73.68,84.3
2021-09,11,6,54.55,6.7,4,3,75.0,18.8,15,9,60.0,25.5
2021-10,9,6,66.67,27.3,3,2,66.67,9.1,12,8,66.67,36.4
2021-11,14,8,57.14,15.8,5,3,60.0,8.5,19,11,57.89,24.3
2021-12,11,5,45.45,-13.3,4,2,50.0,-1.2,15,7,46.67,-14.5
2022-01,8,5,62.5,17.6,3,1,33.33,-10.9,11,6,54.55,6.7
2022-02,18,11,61.11,34.6,5,1,20.0,-31.5,23,12,52.17,3.1
2022-03,16,12,75.0,75.2,4,3,75.0,18.8,20,15,75.0,94.0
2022-04,14,6,42.86,-24.2,6,2,33.33,-21.8,20,8,40.0,-46.0
2022-05,16,9,56.25,15.2,2,0,0.0,-20.6,18,9,50.0,-5.4
2022-06,11,5,45.45,-13.3,8,5,62.5,17.6,19,10,52.63,4.3
2022-07,11,6,54.55,6.7,8,4,50.0,-2.4,19,10,52.63,4.3
2022-08,14,9,64.29,35.8,4,3,75.0,18.8,18,12,66.67,54.6
2022-09,13,7,53.85,6.1,4,2,50.0,-1.2,17,9,52.94,4.9
2022-10,10,5,50.0,-3.0,5,3,60.0,8.5,15,8,53.33,5.5
2022-11,10,3,30.0,-43.0,4,3,75.0,18.8,14,6,42.86,-24.2
2022-12,12,6,50.0,-3.6,2,1,50.0,-0.6,14,7,50.0,-4.2
2023-01,11,5,45.45,-13.3,8,5,62.5,17.6,19,10,52.63,4.3
2023-02,12,4,33.33,-43.6,6,3,50.0,-1.8,18,7,38.89,-45.4
2023-03,15,10,66.67,45.5,6,3,50.0,-1.8,21,13,61.9,43.7
2023-04,11,6,54.55,6.7,5,2,40.0,-11.5,16,8,50.0,-4.8
2023-05,12,9,75.0,56.4,5,4,80.0,28.5,17,13,76.47,84.9
2023-06,9,3,33.33,-32.7,6,1,16.67,-41.8,15,4,26.67,-74.5
2023-07,10,4,40.0,-23.0,6,4,66.67,18.2,16,8,50.0,-4.8
2023-08,10,4,40.0,-23.0,6,5,83.33,38.2,16,9,56.25,15.2
2023-09,10,4,40.0,-23.0,4,1,25.0,-21.2,14,5,35.71,-44.2
2023-10,15,10,66.67,45.5,3,3,100.0,29.1,18,13,72.22,74.6
2023-11,6,3,50.0,-1.8,3,1,33.33,-10.9,9,4,44.44,-12.7
2023-12,11,6,54.55,6.7,8,5,62.5,17.6,19,11,57.89,24.3
2024-01,14,10,71.43,55.8,6,2,33.33,-21.8,20,12,60.0,34.0
2024-02,7,1,14.29,-52.1,3,1,33.33,-10.9,10,2,20.0,-63.0
2024-03,7,5,71.43,27.9,9,7,77.78,47.3,16,12,75.0,75.2
2024-04,11,6,54.55,6.7,3,0,0.0,-30.9,14,6,42.86,-24.2
2024-05,14,5,35.71,-44.2,2,0,0.0,-20.6,16,5,31.25,-64.8
2024-06,12,6,50.0,-3.6,3,3,100.0,29.1,15,9,60.0,25.5
2024-07,14,11,78.57,75.8,7,5,71.43,27.9,21,16,76.19,103.7
2024-08,14,7,50.0,-4.2,5,3,60.0,8.5,19,10,52.63,4.3
2024-09,15,6,40.0,-34.5,3,3,100.0,29.1,18,9,50.0,-5.4
2024-10,9,4,44.44,-12.7,6,6,100.0,58.2,15,10,66.67,45.5
2024-11,14,7,50.0,-4.2,4,0,0.0,-41.2,18,7,38.89,-45.4
2024-12,14,7,50.0,-4.2,6,4,66.67,18.2,20,11,55.0,14.0
2025-01,15,8,53.33,5.5,6,2,33.33,-21.8,21,10,47.62,-16.3
2025-02,19,11,57.89,24.3,3,2,66.67,9.1,22,13,59.09,33.4
2025-03,10,4,40.0,-23.0,1,1,100.0,9.7,11,5,45.45,-13.3
2025-04,24,11,45.83,-27.2,5,3,60.0,8.5,29,14,48.28,-18.7
2025-05,20,11,55.0,14.0,3,2,66.67,9.1,23,13,56.52,23.1
2025-06,10,7,70.0,37.0,4,2,50.0,-1.2,14,9,64.29,35.8
2025-07,18,12,66.67,54.6,7,2,28.57,-32.1,25,14,56.0,22.5
2025-08,12,5,41.67,-23.6,7,2,28.57,-32.1,19,7,36.84,-55.7
2025-09,14,8,57.14,15.8,7,6,85.71,47.9,21,14,66.67,63.7
2025-10,10,3,30.0,-43.0,8,5,62.5,17.6,18,8,44.44,-25.4
2025-11,17,6,35.29,-55.1,6,3,50.0,-1.8,23,9,39.13,-56.9
2025-12,9,5,55.56,7.3,7,5,71.43,27.9,16,10,62.5,35.2
2026-01,16,8,50.0,-4.8,4,1,25.0,-21.2,20,9,45.0,-26.0
2026-02,26,14,53.85,12.2,10,7,70.0,37.0,36,21,58.33,49.2
2026-03,18,11,61.11,34.6,3,0,0.0,-30.9,21,11,52.38,3.7
2026-04,14,7,50.0,-4.2,7,3,42.86,-12.1,21,10,47.62,-16.3
2026-05,16,8,50.0,-4.8,3,2,66.67,9.1,19,10,52.63,4.3
2026-06,18,13,72.22,74.6,5,2,40.0,-11.5,23,15,65.22,63.1
2026-07,21,11,52.38,3.7,6,5,83.33,38.2,27,16,59.26,41.9
