kind,year,count,sum,accuracy_pct
ASIA_TARGET_4H,2020,99,81,81.82
ASIA_TARGET_4H,2021,94,82,87.23
ASIA_TARGET_4H,2022,119,104,87.39
ASIA_TARGET_4H,2023,116,102,87.93
ASIA_TARGET_4H,2024,102,89,87.25
ASIA_TARGET_4H,2025,102,91,89.22
KEY_LIQUIDITY_4H,2020,3959,3281,82.87
KEY_LIQUIDITY_4H,2021,3963,3219,81.23
KEY_LIQUIDITY_4H,2022,3771,3118,82.68
KEY_LIQUIDITY_4H,2023,3401,2807,82.53
KEY_LIQUIDITY_4H,2024,3897,3198,82.06
KEY_LIQUIDITY_4H,2025,3828,3166,82.71
MIDNIGHT_OPEN_RETEST_4H,2020,312,270,86.54
MIDNIGHT_OPEN_RETEST_4H,2021,310,272,87.74
MIDNIGHT_OPEN_RETEST_4H,2022,310,276,89.03
MIDNIGHT_OPEN_RETEST_4H,2023,309,275,89.0
MIDNIGHT_OPEN_RETEST_4H,2024,313,266,84.98
MIDNIGHT_OPEN_RETEST_4H,2025,312,254,81.41
PDH_PDL_8H,2020,54,45,83.33
PDH_PDL_8H,2021,61,52,85.25
PDH_PDL_8H,2022,67,61,91.04
PDH_PDL_8H,2023,68,56,82.35
PDH_PDL_8H,2024,62,53,85.48
PDH_PDL_8H,2025,85,73,85.88
POI_REVISIT_4H,2020,580,482,83.1
POI_REVISIT_4H,2021,532,439,82.52
POI_REVISIT_4H,2022,561,452,80.57
POI_REVISIT_4H,2023,431,365,84.69
POI_REVISIT_4H,2024,509,426,83.69
POI_REVISIT_4H,2025,554,468,84.48
PROTECTED_1H,2020,832,784,94.23
PROTECTED_1H,2021,889,819,92.13
PROTECTED_1H,2022,859,812,94.53
PROTECTED_1H,2023,766,708,92.43
PROTECTED_1H,2024,880,803,91.25
PROTECTED_1H,2025,859,797,92.78
VALIDATED_DOL,2020,16,15,93.75
VALIDATED_DOL,2021,20,18,90.0
VALIDATED_DOL,2022,33,31,93.94
VALIDATED_DOL,2023,12,11,91.67
VALIDATED_DOL,2024,20,18,90.0
VALIDATED_DOL,2025,15,14,93.33
VALIDATED_RISK_4H,2020,79,66,83.54
VALIDATED_RISK_4H,2021,97,82,84.54
VALIDATED_RISK_4H,2022,96,87,90.62
VALIDATED_RISK_4H,2023,78,63,80.77
VALIDATED_RISK_4H,2024,95,81,85.26
VALIDATED_RISK_4H,2025,82,72,87.8
