month,rr,wins,losses,closed,wr,net_r,correction_for_next_month
202201,1.0,40,40,80,50.0,0.0,sl_buffer_atr: 0.25 -> 0.35
202202,1.0,32,40,72,44.44444444444444,-8.0,sweep_atr: 0.05 -> 0.2
202203,1.0,29,23,52,55.76923076923077,6.0,profitable month: code retained
202204,1.0,27,24,51,52.94117647058823,3.0,profitable month: code retained
202205,1.0,21,30,51,41.1764705882353,-9.0,pivot_len: 5 -> 3
202206,1.0,28,47,75,37.333333333333336,-19.0,zone_expiry_bars: 72 -> 144
202207,1.0,28,42,70,40.0,-14.0,sl_buffer_atr: 0.35 -> 0.1
202208,1.0,48,40,88,54.54545454545455,8.0,profitable month: code retained
202209,1.0,39,38,77,50.64935064935065,1.0,profitable month: code retained
202210,1.0,33,37,70,47.142857142857146,-4.0,sl_buffer_atr: 0.1 -> 0.5
202211,1.0,37,38,75,49.333333333333336,-1.0,zone_width_atr: 0.2 -> 0.3
202212,1.0,32,31,63,50.79365079365079,1.0,profitable month: code retained
202301,1.0,32,31,63,50.79365079365079,1.0,profitable month: code retained
202302,1.0,33,32,65,50.76923076923077,1.0,profitable month: code retained
202303,1.0,19,18,37,51.35135135135136,1.0,profitable month: code retained
202304,1.0,17,19,36,47.22222222222222,-2.0,pivot_len: 3 -> 5
202305,1.0,19,12,31,61.29032258064516,7.0,profitable month: code retained
202306,1.0,20,17,37,54.054054054054056,3.0,profitable month: code retained
202307,1.0,23,15,38,60.526315789473685,8.0,profitable month: code retained
202308,1.0,33,34,67,49.25373134328358,-1.0,atr_len: 14 -> 7
202309,1.0,13,33,46,28.26086956521739,-20.0,pivot_len: 5 -> 3
202310,1.0,32,40,72,44.44444444444444,-8.0,zone_expiry_bars: 144 -> 24
202311,1.0,25,22,47,53.191489361702125,3.0,profitable month: code retained
202312,1.0,14,22,36,38.888888888888886,-8.0,atr_len: 7 -> 21
202401,1.0,15,33,48,31.25,-18.0,pivot_len: 3 -> 5
202402,1.0,22,16,38,57.89473684210526,6.0,profitable month: code retained
202403,1.0,21,15,36,58.333333333333336,6.0,profitable month: code retained
202404,1.0,12,14,26,46.15384615384615,-2.0,pivot_len: 5 -> 7
202405,1.0,14,8,22,63.63636363636363,6.0,profitable month: code retained
202406,1.0,11,11,22,50.0,0.0,sl_buffer_atr: 0.5 -> 0.1
202407,1.0,14,14,28,50.0,0.0,zone_expiry_bars: 24 -> 144
202408,1.0,22,18,40,55.0,4.0,profitable month: code retained
202409,1.0,29,16,45,64.44444444444444,13.0,profitable month: code retained
202410,1.0,25,25,50,50.0,0.0,sl_buffer_atr: 0.1 -> 0.35
202411,1.0,15,29,44,34.09090909090909,-14.0,sweep_atr: 0.2 -> 0.0
202412,1.0,33,40,73,45.2054794520548,-7.0,zone_expiry_bars: 144 -> 24
202501,1.0,32,20,52,61.53846153846154,12.0,profitable month: code retained
202502,1.0,14,11,25,56.0,3.0,profitable month: code retained
202503,1.0,26,19,45,57.77777777777778,7.0,profitable month: code retained
202504,1.0,24,18,42,57.142857142857146,6.0,profitable month: code retained
202505,1.0,28,17,45,62.22222222222222,11.0,profitable month: code retained
202506,1.0,21,20,41,51.21951219512195,1.0,profitable month: code retained
202507,1.0,28,21,49,57.142857142857146,7.0,profitable month: code retained
202508,1.0,16,18,34,47.05882352941177,-2.0,sl_buffer_atr: 0.35 -> 0.2
202509,1.0,26,21,47,55.319148936170215,5.0,profitable month: code retained
202510,1.0,18,20,38,47.36842105263158,-2.0,pivot_len: 7 -> 5
202511,1.0,31,16,47,65.95744680851064,15.0,profitable month: code retained
202512,1.0,34,24,58,58.62068965517241,10.0,profitable month: code retained
202601,1.0,26,22,48,54.16666666666666,4.0,profitable month: code retained
202602,1.0,36,25,61,59.01639344262295,11.0,profitable month: code retained
202603,1.0,26,25,51,50.98039215686274,1.0,profitable month: code retained
202604,1.0,35,31,66,53.03030303030303,4.0,profitable month: code retained
202605,1.0,34,29,63,53.96825396825397,5.0,profitable month: code retained
202606,1.0,34,32,66,51.51515151515152,2.0,profitable month: code retained
202201,2.0,21,43,64,32.8125,-1.0,zone_width_atr: 0.2 -> 0.3
202202,2.0,20,36,56,35.714285714285715,4.0,profitable month: code retained
202203,2.0,24,31,55,43.63636363636363,17.0,profitable month: code retained
202204,2.0,16,32,48,33.333333333333336,0.0,min_close_location: 0.6 -> 0.7
202205,2.0,14,43,57,24.56140350877193,-15.0,pivot_len: 5 -> 3
202206,2.0,21,54,75,28.0,-12.0,zone_width_atr: 0.3 -> 0.4
202207,2.0,16,45,61,26.229508196721312,-13.0,pivot_len: 3 -> 7
202208,2.0,14,33,47,29.78723404255319,-5.0,reclaim_atr: 0.0 -> 0.1
202209,2.0,14,22,36,38.888888888888886,6.0,profitable month: code retained
202210,2.0,10,21,31,32.25806451612903,-1.0,atr_len: 14 -> 7
202211,2.0,13,21,34,38.23529411764706,5.0,profitable month: code retained
202212,2.0,7,30,37,18.91891891891892,-16.0,pivot_len: 7 -> 5
202301,2.0,20,21,41,48.78048780487805,19.0,profitable month: code retained
202302,2.0,11,26,37,29.72972972972973,-4.0,pivot_len: 5 -> 7
202303,2.0,9,13,22,40.90909090909091,5.0,profitable month: code retained
202304,2.0,7,15,22,31.818181818181817,-1.0,zone_expiry_bars: 72 -> 24
202305,2.0,7,10,17,41.1764705882353,4.0,profitable month: code retained
202306,2.0,9,12,21,42.85714285714285,6.0,profitable month: code retained
202307,2.0,5,5,10,50.0,5.0,profitable month: code retained
202308,2.0,6,27,33,18.181818181818183,-15.0,zone_expiry_bars: 24 -> 72
202309,2.0,11,13,24,45.833333333333336,9.0,profitable month: code retained
202310,2.0,12,31,43,27.906976744186046,-7.0,zone_width_atr: 0.4 -> 0.1
202311,2.0,14,16,30,46.66666666666666,12.0,profitable month: code retained
202312,2.0,9,26,35,25.714285714285715,-8.0,pivot_len: 7 -> 3
202401,2.0,21,51,72,29.166666666666668,-9.0,pivot_len: 3 -> 5
202402,2.0,30,30,60,50.0,30.0,profitable month: code retained
202403,2.0,24,37,61,39.34426229508197,11.0,profitable month: code retained
202404,2.0,17,32,49,34.69387755102041,2.0,profitable month: code retained
202405,2.0,29,42,71,40.84507042253521,16.0,profitable month: code retained
202406,2.0,20,44,64,31.25,-4.0,zone_expiry_bars: 72 -> 24
202407,2.0,21,39,60,35.0,3.0,profitable month: code retained
202408,2.0,15,36,51,29.41176470588235,-6.0,pivot_len: 5 -> 3
202409,2.0,21,47,68,30.88235294117647,-5.0,zone_expiry_bars: 24 -> 144
202410,2.0,33,76,109,30.275229357798164,-10.0,pivot_len: 3 -> 5
202411,2.0,13,53,66,19.696969696969692,-27.0,pivot_len: 5 -> 3
202412,2.0,34,65,99,34.343434343434346,3.0,profitable month: code retained
202501,2.0,40,53,93,43.01075268817204,27.0,profitable month: code retained
202502,2.0,28,41,69,40.57971014492754,15.0,profitable month: code retained
202503,2.0,31,43,74,41.891891891891895,19.0,profitable month: code retained
202504,2.0,32,62,94,34.04255319148936,2.0,profitable month: code retained
202505,2.0,38,57,95,40.0,19.0,profitable month: code retained
202506,2.0,37,50,87,42.52873563218391,24.0,profitable month: code retained
202507,2.0,22,80,102,21.568627450980397,-36.0,pivot_len: 3 -> 7
202508,2.0,18,28,46,39.130434782608695,8.0,profitable month: code retained
202509,2.0,17,29,46,36.95652173913044,5.0,profitable month: code retained
202510,2.0,15,30,45,33.333333333333336,0.0,zone_width_atr: 0.1 -> 0.2
202511,2.0,23,20,43,53.48837209302326,26.0,profitable month: code retained
202512,2.0,16,39,55,29.09090909090909,-7.0,sl_buffer_atr: 0.25 -> 0.5
202601,2.0,15,31,46,32.608695652173914,-1.0,min_close_location: 0.7 -> 0.55
